date,article_count,mean_compound,median_compound,std_compound,min_compound,max_compound,pct_negative,pct_positive,weighted_compound,sent_ema3,sent_ema10,sent_momentum,dominant_sentiment,spy_close,spy_return_1d,spy_gap_pct,spy_range_pct,spy_return_5d,spy_return_20d,qqq_close,qqq_return_1d,qqq_gap_pct,qqq_range_pct,qqq_return_5d,qqq_return_20d,dia_close,dia_return_1d,dia_gap_pct,dia_range_pct,dia_return_5d,dia_return_20d,vix_close,vix_pct_chg,market_direction,spy_return_next1d,spy_up_next1d,qqq_return_next1d,qqq_up_next1d,dia_return_next1d,dia_up_next1d,vix_regime,sent_quantile_60d,rolling_corr_60d,sent_compound_L1,sent_neg_pct_L1,sent_momentum_L1,sent_compound_L2,sent_neg_pct_L2,sent_momentum_L2,sent_compound_L3,sent_neg_pct_L3,sent_momentum_L3,sent_compound_L4,sent_neg_pct_L4,sent_momentum_L4,sent_compound_L5,sent_neg_pct_L5,sent_momentum_L5,sent_rolling_mean_5d,sent_rolling_std_5d,neg_pct_rolling_5d,sent_rolling_mean_10d,sent_rolling_std_10d,neg_pct_rolling_10d,sent_rolling_mean_20d,sent_rolling_std_20d,neg_pct_rolling_20d,spy_return_L1,spy_return_L2,spy_return_L3,vix_L1,vix_change_1d,vix_regime_code,sent_x_vix,sent_x_article_count,article_count_zscore,day_of_week,sent_sign_change
2026-04-06,4,-0.5904,-0.5874,0.2858,-0.891,-0.296,1.0,0.0,-0.5904,-0.3301,-0.2327,-0.0974,negative,658.9299926757812,0.47000000000000003,0.0,0.64,3.92,-1.73,588.5,0.6,0.21,1.01,4.61,-1.7500000000000002,466.5719909667969,0.37,-0.19,0.77,3.4099999999999997,-1.5699999999999998,24.170000076293945,1.26,1,0.04,1.0,0.02,1.0,-0.19,0.0,normal,,,-0.6804,1.0,-0.1999,-0.5796,1.0,-0.051,0.4254,0.5,0.2459,0.1882,0.5,0.1351,0.0,0.0,0.0032,-0.2474,0.5143,0.8,-0.1939,0.5058,0.6,-0.1732,0.4884,0.65,0.09,0.75,2.91,23.8700008392334,0.3,1,-14.27,-2.3616,1.475,0,0
2026-04-07,7,-0.0133,0.0,0.7081,-0.9217,0.875,0.4286,0.4286,-0.0133,-0.1717,-0.1928,0.0211,neutral,659.219970703125,0.04,-0.35000000000000003,1.3,4.31,-2.54,588.5900268554688,0.02,-0.49,1.7999999999999998,5.43,-3.0300000000000002,465.682373046875,-0.19,-0.22,0.8999999999999999,3.06,-2.3,25.780000686645508,6.660000000000001,1,2.55,1.0,2.97,1.0,2.85,1.0,elevated,,,-0.5904,1.0,-0.0974,-0.6804,1.0,-0.1999,-0.5796,1.0,-0.051,0.4254,0.5,0.2459,0.1882,0.5,0.1351,-0.2877,0.4782,0.7857,-0.2334,0.47,0.6429,-0.1642,0.4897,0.6214,0.47000000000000003,0.09,0.75,24.170000076293945,1.61,2,-0.3429,-0.0931,2.569,1,0
2026-04-08,4,0.371,0.7876,0.8725,-0.9371,0.8462,0.25,0.75,0.371,0.0997,-0.0903,0.19,positive,676.010009765625,2.55,2.6,0.8500000000000001,3.95,0.1,606.0900268554688,2.97,3.42,1.32,5.01,-0.15,478.95672607421875,2.85,2.79,1.0,3.45,0.52,21.040000915527344,-18.39,1,0.58,1.0,0.6799999999999999,1.0,0.5700000000000001,1.0,normal,,,-0.0133,0.4286,0.0211,-0.5904,1.0,-0.0974,-0.6804,1.0,-0.1999,-0.5796,1.0,-0.051,0.4254,0.5,0.2459,-0.2985,0.4582,0.7357,-0.1391,0.4887,0.5679,-0.1393,0.5041,0.5839,0.04,0.47000000000000003,0.09,25.780000686645508,-4.74,1,7.8058,1.484,0.934,2,1
2026-04-09,10,0.0492,0.2155,0.7699,-0.9723,0.944,0.4,0.5,0.0492,0.0745,-0.0649,0.1394,neutral,679.9099731445312,0.58,-0.16999999999999998,1.09,3.7699999999999996,0.8,610.1900024414062,0.6799999999999999,-0.03,1.23,4.43,0.54,481.695556640625,0.5700000000000001,-0.35000000000000003,1.31,3.53,1.71,19.489999771118164,-7.37,1,-0.06999999999999999,0.0,0.13999999999999999,1.0,-0.5499999999999999,0.0,normal,,,0.371,0.25,0.19,-0.0133,0.4286,0.0211,-0.5904,1.0,-0.0974,-0.6804,1.0,-0.1999,-0.5796,1.0,-0.051,-0.1728,0.4479,0.6157,-0.1682,0.4651,0.6079,-0.1317,0.5058,0.5539,2.55,0.04,0.47000000000000003,21.040000915527344,-1.55,1,0.9589,0.492,2.82,3,0
2026-04-10,4,-0.1708,-0.1444,0.7099,-0.8885,0.4939,0.5,0.5,-0.1708,-0.0482,-0.0842,0.036,negative,679.4600219726562,-0.06999999999999999,0.21,0.53,3.5999999999999996,2.29,611.0700073242188,0.13999999999999999,0.27,0.67,4.46,2.44,479.04669189453125,-0.5499999999999999,0.06,0.7799999999999999,3.05,2.74,19.229999542236328,-1.3299999999999998,-1,0.98,1.0,1.03,1.0,0.6,1.0,normal,,,0.0492,0.4,0.1394,0.371,0.25,0.19,-0.0133,0.4286,0.0211,-0.5904,1.0,-0.0974,-0.6804,1.0,-0.1999,-0.0709,0.351,0.5157,-0.1001,0.399,0.5579,-0.1503,0.4997,0.5789,0.58,2.55,0.04,19.489999771118164,-0.26,1,-3.2845,-0.6832,0.478,4,1
2026-04-13,8,-0.1674,-0.2917,0.6653,-0.8591,0.762,0.5,0.375,-0.2323,-0.1465,-0.0876,-0.0589,negative,686.0999755859375,0.98,-0.3,1.43,4.12,3.88,617.3900146484375,1.03,-0.26,3.05,4.91,4.12,481.92547607421875,0.6,-0.66,1.49,3.29,3.5900000000000003,19.1200008392334,-0.5700000000000001,1,1.22,1.0,1.82,1.0,0.7000000000000001,1.0,normal,,,-0.1708,0.5,0.036,0.0492,0.4,0.1394,0.371,0.25,0.19,-0.0133,0.4286,0.0211,-0.5904,1.0,-0.0974,0.0137,0.2216,0.4157,-0.1168,0.3979,0.6079,-0.1151,0.4701,0.5539,-0.06999999999999999,0.58,2.55,19.229999542236328,-0.11,1,-3.2007,-1.3392,1.734,0,0
2026-04-14,13,0.0458,0.0,0.5776,-0.9153,0.7678,0.3846,0.4615,0.0458,-0.0504,-0.0634,0.013,neutral,694.4600219726562,1.22,0.22999999999999998,1.01,5.35,4.08,628.5999755859375,1.82,0.45999999999999996,1.38,6.800000000000001,4.83,485.2840270996094,0.7000000000000001,0.06,0.8500000000000001,4.21,3.45,18.360000610351562,-3.9699999999999998,1,0.79,1.0,1.4000000000000001,1.0,-0.16,0.0,normal,,,-0.1674,0.5,-0.0589,-0.1708,0.5,0.036,0.0492,0.4,0.1394,0.371,0.25,0.19,-0.0133,0.4286,0.0211,0.0256,0.2214,0.4069,-0.131,0.3882,0.5963,-0.0992,0.4699,0.5232,0.98,-0.06999999999999999,0.58,19.1200008392334,-0.76,1,0.8409,0.5954,2.627,1,1
2026-04-15,20,0.1292,0.0,0.5524,-0.8625,0.9748,0.45,0.45,0.1381,0.0394,-0.0283,0.0677,positive,699.9400024414062,0.79,0.12,0.88,3.54,4.63,637.4000244140625,1.4000000000000001,0.08,1.53,5.17,5.779999999999999,484.5143737792969,-0.16,0.21,0.8699999999999999,1.16,3.16,18.170000076293945,-1.03,1,0.25,1.0,0.48,1.0,0.19,1.0,normal,,,0.0458,0.3846,0.013,-0.1674,0.5,-0.0589,-0.1708,0.5,0.036,0.0492,0.4,0.1394,0.371,0.25,0.19,-0.0228,0.1377,0.4469,-0.1607,0.3505,0.5913,-0.1277,0.4348,0.5457,1.22,0.98,-0.06999999999999999,18.360000610351562,-0.19,1,2.3476,2.584,3.059,2,0
2026-04-16,26,0.2621,0.3906,0.519,-0.8481,0.9432,0.3077,0.6154,0.264,0.1508,0.0245,0.1263,positive,701.6599731445312,0.25,0.16,0.61,3.2,6.370000000000001,640.469970703125,0.48,0.27999999999999997,1.09,4.96,7.8,485.42401123046875,0.19,0.22999999999999998,0.7100000000000001,0.77,5.11,17.940000534057617,-1.27,1,1.21,1.0,1.31,1.0,1.81,1.0,normal,,,0.1292,0.45,0.0677,0.0458,0.3846,0.013,-0.1674,0.5,-0.0589,-0.1708,0.5,0.036,0.0492,0.4,0.1394,0.0198,0.1889,0.4285,-0.0765,0.3396,0.5221,-0.0682,0.3996,0.511,0.79,1.22,0.98,18.170000076293945,-0.23,1,4.7021,6.8146,2.937,3,0
2026-04-17,48,0.178,0.2833,0.5709,-0.9517,0.936,0.375,0.5625,0.175,0.1644,0.0524,0.112,positive,710.1400146484375,1.21,0.64,0.9400000000000001,4.52,7.920000000000001,648.8499755859375,1.31,0.8,0.9299999999999999,6.18,9.55,494.2200012207031,1.81,1.08,1.38,3.17,7.470000000000001,17.479999542236328,-2.56,1,-0.2,0.0,-0.32,0.0,0.02,1.0,normal,,,0.2621,0.3077,0.1263,0.1292,0.45,0.0677,0.0458,0.3846,0.013,-0.1674,0.5,-0.0589,-0.1708,0.5,0.036,0.0895,0.1636,0.4035,0.0093,0.2717,0.4596,-0.0752,0.3936,0.5298,0.25,0.79,1.22,17.940000534057617,-0.46,1,3.1114,8.544,3.446,4,0
